,State,Post_Full_Name,Latitude,Longitude
0,Albania,U.S. Embassy Tirana,41.320471,19.82707
1,Algeria,U.S. Embassy in Algiers,36.753424531614456,3.021801240845189
2,Afghanistan,U.S. Embassy in Kabul,34.5155,069.1952
3,Angola,U.S. Embassy in Luanda,-8.809720967521883,13.244469090775446
4,Argentina,U.S. Embassy in Buenos Aires,-34.5766049804666,-58.42101148534582
5,American Institute in Taiwan,American Institute in Taiwan,25.0338,121.5645
6,Armenia,U.S. Embassy in Yerevan,40.16526737871782,44.47928465065334
7,Australia,U.S. Embassy in Canberra,-35.30639538028345,149.11413951524867
8,Australia,U.S. Consulate in Melbourne,-37.84685074361148,144.97817895110475
9,Australia,U.S. Consulate in Perth,-31.956718429700384,115.86226395093502
10,Australia,U.S. Consulate in Sydney,-33.83987982499072,151.20416721564197
11,Austria,U.S. Embassy in Austria,48.2092,016.3728
12,Bahamas,U.S. Embassy Nassau,25.077164483873396,-77.34896624969824
13,Bahrain,U.S. Embassy Manama,26.237461,50.538771
14,Azerbaijan,U.S. Embassy in Baku,40.3953,049.8822
15,Bangladesh,U.S. Embassy in Dhaka,23.79492698608253,90.41434370839845
16,Belarus,U.S. Embassy Minsk,53.912943639820504,27.556450815687707
17,Barbados,U.S. Embassy in Bridgetown,13.0975,-59.616667
18,Belize,U.S. Embassy in Belmopan,17.257409411026316,-88.7746408500989
19,Benin,U.S. Embassy Cotonou,6.3507944803280525,2.3962361978393565
20,Belgium,U.S. Embassy Brussels,50.8371,004.3676
21,Bermuda,U.S. Consulate in Hamilton,32.29539498102744,-64.77029974967265
22,Bosnia & Herzegovina,U.S. Embassy in Sarajevo,43.856664479012416,18.398199750701693
23,Bolivia,U.S. Embassy in La Paz,-16.500,-68.150
24,Botswana,U.S. Embassy Gaborone,-24.661260909013087,25.90648851606914
25,Brazil,U.S. Embassy in Brasilia,-15.80437338904502,-47.87494718594563
26,Brazil,U.S. Consulate in Porto Alegre,-30.012005881894144,-51.170603185102486
27,Brazil,U.S. Consulate General in Recife,-8.057479794198347,-34.89513298604406
28,Brazil,U.S. Consulate General in Rio de Janeiro,-22.9114962850094,-43.17603538580082
29,Brazil,U.S. Consulate General in Sao Paulo,-23.629400686822922,-46.71500176726864
30,Brunei,U.S. Embassy in Bandar Seri Begawan,4.919424,114.956281
31,Bulgaria,U.S. Embassy in Sofia,42.66685437906526,23.310085350655804
32,Burkina Faso,U.S. Embassy in Ouagadougou,12.251802140547836,-1.5370534984062096
33,Burma,U.S. Embassy in Rangoon,16.8253686,96.1444142
34,Burundi,U.S. Embassy in Bujumbura,-3.368231542392924,29.380263715846144
35,Cabo Verde,U.S. Embassy in Praia,14.92113557314168,-23.50859068535588
36,Cambodia,U.S. Embassy in Phnom Penh,11.55855851769707,104.88081813752557
37,Canada,U.S. Embassy in Ottawa,45.42795027910043,-75.69805418493372
38,Canada,U.S. Consulate General in Calgary,51.046564979562035,-114.0603911846858
39,Canada,U.S. Consulate General in Halifax,44.652399295261674,-63.576402884196376
40,Canada,U.S. Consulate General in Montreal,45.49943997910136,-73.57542628444138
41,Canada,U.S. Consulate General in Quebec,46.81061277913991,-71.20693568487476
42,Canada,U.S. Consulate General in Toronto,43.65277537912137,-79.39009958500738
43,Canada,U.S. Consulate General in Vancouver,49.287486979331824,-123.12183428476567
44,Canada,U.S. Consulate in Winnipeg,49.89568903506278,-97.14146048445255
45,Central African Republic,U.S. Embassy in Bangui,4.360147295730762,18.57692871459369
46,Cameroon,U.S. Embassy in Yaounde,3.866667,11.516667
47,Chile,U.S. Embassy Santiago,-33.411839902917684,-70.6065827848723
48,China,U.S. Embassy in Beijing,39.9056,116.3958
49,China,U.S. Consulate General in Guangzhou,23.13,113.26
50,China,U.S. Consulate in Shanghai,31.2304,121.4737
51,China,U.S. Consulate in Shenyang,41.8047,123.434
52,China,U.S. Consulate General in Wuhan,30.5934,114.3046
53,Chad,U.S. Embassy in Ndjamena,12.11,15.05
54,Costa Rica,U.S. Embassy in San Jose,9.942651776713493,-84.12636725016975
55,Colombia,U.S. Embassy in Bogota,04.6473,-074.0962
56,Cuba,U.S. Embassy Havana,23.145848517518314,-82.39025868531266
57,Côte d’Ivoire,U.S. Embassy in Abidjan,5.316667,-4.033333
58,Croatia,U.S. Embassy in Zagreb,45.8,16.0
59,Curacao,U.S. Consulate General in Curacao,12.108160536469793,-68.92806705015425
60,Czech Republic,U.S. Embassy in Prague,50.087334199999994,14.4013251
61,Cyprus,U.S. Embassy in Nicosia,35.1725,33.365
62,Democratic Republic of the Congo,U.S. Embassy in Kinshasa,-4.30045134755232,15.311121414556926
63,Denmark,U.S. Embassy Copenhagen,55.69463390384914,12.580999351204579
64,Djibouti,U.S. Embassy in Djibouti,11.564571439167759,43.164265285710535
65,Dominican Republic,U.S. Embassy in Santo Domingo,18.505791773516865,-69.96556585638002
66,Ecuador,U.S. Embassy Quito,-0.1387366354893353,-78.46992368546607
67,Ecuador,U.S. Consulate General Guayaquil,-2.190321437897651,-79.94002108545662
68,Egypt,U.S. Embassy in Cairo,30.040062177118504,31.230139821101467
69,Egypt,U.S. Consulate General in Alexandria,31.24555,30.017697
70,El Salvador,U.S. Embassy in San Salvador,13.664472,-89.257115
71,Equatorial Guinea,U.S. Embassy in Malabo,3.709944052732674,8.67950404719766
72,Eritrea,U.S. Embassy Asmara,15.326481749328192,38.93054880356809
73,Estonia,U.S. Embassy in Tallinn,59.43049458160451,24.749452351387053
74,Eswatini,U.S. Embassy Mbabane,-26.326799,31.146070000000005
75,Ethiopia,U.S. Embassy in Addis Ababa,9.058503490987626,38.7616351507037
76,Fiji,U.S. Embassy in Suva,-18.116938789110446,178.43728565154606
77,Finland,U.S. Embassy in Finland,60.15712498186756,24.95848845142241
