Post_Full_Name,Drop,Latitude,Longitude
U.S. Embassy in Bridgetown,FALSE,13.0975,-59.616667
U.S. Embassy in Yaounde,FALSE,3.866667,11.516667
U.S. Embassy in Ndjamena,FALSE,12.11,15.05
U.S. Embassy in Abidjan,FALSE,5.316667,-4.033333
U.S. Embassy in Zagreb,FALSE,45.8,16
U.S. Embassy in Nicosia,FALSE,35.1725,33.365
U.S. Embassy to the Holy See,FALSE,41.903333,12.453333
U.S. Embassy in Luxembourg,FALSE,49.814444,6.131667
U.S. Embassy in Kolonia,FALSE,6.85,158.216667
United States Embassy Wellington,FALSE,-41.288889,174.777222
U.S. Embassy in Dar es Salaam,FALSE,-6.8,39.283333
U.S. Embassy in Port of Spain,FALSE,10.666667,-61.516667
U.S. Consulate General in Guangzhou,FALSE,23.13,113.26
U.S. Consulate in Shenyang,FALSE,41.8047,123.434
U.S. Consulate General in Wuhan,FALSE,30.5934,114.3046
U.S. Virtual Embassy to Comoros,TRUE,,
U.S. Consulate General in Düsseldorf,FALSE,51.21863818,6.79570647
U.S. Consulate General in Frankfurt,FALSE,50.110556,8.682222
U.S. Consulate General in Hamburg,FALSE,53.55,10
U.S. Consulate General in Leipzig,FALSE,51.34,12.375
U.S. Consulate General in Munich,FALSE,48.1375,11.575
U.S. Consulate General in Basrah,FALSE,30.515,47.81
U.S. Consulate General in Erbil,FALSE,36.191188,44.009189
U.S. Consulate General in Ciudad Juarez,FALSE,31.738581,-106.487014
U.S. Consulate General in Guadalajar,FALSE,20.676667,-103.3475
U.S. Consulate General in Hermosillo,FALSE,29.098889,-110.954167
U.S. Consulate General in Matamoros,FALSE,25.88700974,-97.50320479
U.S. Consulate General in Merida,FALSE,20.99083555,-89.62002094
U.S. Consulate General in Monterrey,FALSE,25.666667,-100.3
U.S. Consulate General in Nogales,FALSE,31.28884412,-110.940034
U.S. Consulate General in Nuevo Laredo,FALSE,27.486111,-99.506944
U.S. Consulate General in Tijuana,FALSE,32.525,-117.033333
U.S. Virtual Presence Post Seychelles,TRUE,,
U.S. Mission to ASEAN,FALSE,-6.180948006,106.8302514
U.S. Mission to the International Organizations in Vienna,FALSE,48.23492607,16.42088888
U.S. Mission to NATO,FALSE,50.87853918,4.429497671
U.S. Mission to the African Union,FALSE,9.07021415,38.76057375
U.S. Mission to the EU,FALSE,50.84433472,4.367278043
U.S. Embassy in Muscat,FALSE,23.588889,58.408333
